,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
15708,325652,1994,gasoline,2.0,1750.0
15710,280000,2006,diesel,2.0,6500.0
15712,195582,2011,gasoline,1.8,9900.0
15716,268,1996,gas,1.8,1500.0
15717,628000,1989,gas,1.8,1500.0
15720,318000,1998,gasoline,1.8,4100.0
15725,292000,2003,gasoline,1.8,4950.0
15729,255000,1988,gasoline,1.8,750.0
15730,187000,2010,diesel,1.6,8750.0
15732,457000,1993,gasoline,1.8,1550.0
15734,420000,1993,diesel,1.9,1500.0
15741,146600,2011,gasoline,1.8,8500.0
15748,1000,1988,gasoline,1.8,1635.0
15753,400,1997,gasoline,1.6,3800.0
15755,321213,1988,gasoline,1.8,1300.0
15760,219000,2007,gasoline,2.0,8000.0
15762,440000,1989,gasoline,1.8,750.0
15764,555555,1997,diesel,1.9,3000.0
15766,268000,2006,diesel,1.9,6900.0
15768,260000,2011,diesel,2.0,10900.0
15771,278000,2006,diesel,2.0,7200.0
15773,400000,1991,diesel,1.6,1150.0
15774,350000,1991,gasoline,2.0,1250.0
15780,217000,2007,diesel,1.9,6500.0
15784,190000,2006,diesel,2.0,4500.0
15788,111110,1999,diesel,2.5,4000.0
15791,300000,2003,diesel,1.9,4700.0
15793,177000,2016,diesel,2.0,16100.0
15796,450000,2000,gasoline,1.8,2720.0
15800,110000,2010,gasoline,1.6,9000.0
15806,200000,2010,diesel,2.0,8750.0
15810,250000,1995,gasoline,1.8,1550.0
15815,170000,2011,gasoline,1.8,10000.0
15816,298000,1993,gasoline,1.8,1720.0
15817,300000,1988,diesel,1.6,900.0
15819,356664,1990,gasoline,1.8,1400.0
15821,188000,2010,diesel,1.6,9000.0
15824,204126,2011,diesel,2.0,11381.96
15826,480000,1997,gasoline,1.6,3800.0
15828,250000,2000,gasoline,1.8,2950.0
15829,300000,1998,diesel,1.9,3950.0
15830,270000,2006,diesel,2.0,5900.0
15831,326000,1994,gasoline,1.8,1450.0
15835,245000,1993,gasoline,1.8,1850.0
15839,330000,1999,diesel,2.5,4000.0
15850,189000,2010,gasoline,1.4,7400.0
15852,172200,2012,gasoline,2.5,12000.0
15861,268000,2001,diesel,1.9,4200.0
15862,330000,1994,gasoline,1.8,1400.0
15866,231000,2007,diesel,2.0,5950.0
15867,240000,2006,gasoline,2.0,7499.0
15869,388000,1995,diesel,1.9,2300.0
15871,360000,1989,gasoline,1.6,300.0
15874,233274,2004,diesel,2.0,5150.0
15875,175000,2016,diesel,1.6,13750.0
15881,290000,2000,gasoline,2.0,4250.0
15882,450000,1993,diesel,1.6,1600.0
15883,300000,1991,gasoline,1.8,950.0
15886,290,2004,diesel,1.9,3600.0
15887,324000,2004,diesel,1.9,4800.0
15889,352517,2005,diesel,2.0,4884.76
15902,275000,2010,gasoline,1.4,6533.0
15906,180000,2008,gasoline,1.8,7600.0
15907,315272,1988,gasoline,1.8,350.0
15912,610,1992,diesel,1.6,1350.0
15913,420000,1991,gas,1.8,1000.0
15925,111111,1991,gasoline,1.8,1500.0
15926,376000,1989,gas,1.8,1000.0
15928,400000,1990,diesel,1.6,850.0
15929,550000,1984,gasoline,1.6,300.0
15939,131000,2010,gasoline,2.0,7500.0
15941,221000,1999,gasoline,1.6,4300.0
15947,290000,1992,gasoline,1.8,999.0
15950,214000,2008,diesel,2.0,7100.0
15951,212100,2008,diesel,2.0,7100.0
